Mean,StD,SM,SS,PM,PS,Done
0.6148318544384908,0.10891373360838855,5e-17,5e-17,139.99992521338035,5.027265278878343,0
0.5954682836306565,0.112552525293873,5e-17,5e-17,140.00071460781035,4.999699303695548,1
0.6784475488188322,0.1129997285186618,5e-17,5e-17,140.00684745142382,5.008980676511574,1
0.617114026367179,0.1028398925287522,5e-17,5e-17,139.99995153699746,5.007195298407597,1
0.570380571853478,0.10250730849296126,5e-17,5e-17,139.93147663293323,4.945838422983321,0
0.7863830972550171,0.0597449617767621,2.5e-17,5e-17,366.422848770778,985.0271424552544,0
0.6255596144046562,0.09401177783530205,5e-17,5e-17,140.07735544914752,4.996059374937554,0
0.6610680251271378,0.10394616035347945,5e-17,5e-17,139.96678469344033,5.000971842519194,0
0.5868041024361953,0.10499080140937406,5e-17,5e-17,139.9608518119515,4.8866434510402605,0
0.621928071926536,0.1078715102777203,5e-17,5e-17,140.00967363680329,4.9921233320095295,1
0.6375227225026174,0.11684257732715196,5e-17,5e-17,140.07883588425037,4.963534923827776,0
0.590839959126953,0.1109205339177032,5e-17,5e-17,139.99087285793206,5.005119324548556,1
0.7217149369430477,0.11513945007221055,5e-17,5e-17,139.97045730500653,5.007979046269262,0
0.5505594558310684,0.09846346622121094,5e-17,5e-17,139.9998707437751,5.078433339713234,0
0.6632746436719896,0.10694292841464974,5e-17,5e-17,140.0010036421715,5.0552929127410415,0
0.6606311812060818,0.1233428888423284,5e-17,5e-17,139.99930916751802,5.000745129846446,1
0.5375103245330553,0.10485190390522175,5e-17,5e-17,140.05233389040143,4.988028069785786,0
0.6301426360744234,0.10972870549083036,5e-17,5e-17,140.0771685825292,4.98121162921521,0
0.6072774997373884,0.12183688353614265,5e-17,5e-17,140.0002157597999,5.014271028704245,0
0.6503547707553367,0.1229573255373282,5e-17,5e-17,139.9998342418784,4.999868259306005,1
0.6327030040901773,0.11816964885982925,5e-17,5e-17,140.08762809023207,4.972774505669667,0
0.613453978251092,0.1150406996402803,5e-17,5e-17,140.0069341206907,4.99077029476867,1
0.5914850354281598,0.1133164108111149,5e-17,5e-17,139.99909466423256,4.999933703989514,1
0.632470358797761,0.12034725927107415,5e-17,5e-17,139.99905578994853,5.032553337352887,0
0.6012854581485401,0.09882997213383594,5e-17,5e-17,139.99991316882958,5.013037852506596,0
0.6071362300272671,0.09251602249925005,5e-17,5e-17,140.0011514203227,5.080020396383865,0
0.6612286519919036,0.11007802442731225,5e-17,5e-17,140.0117853304779,4.997035932071662,0
0.6464886886902108,0.09978649691025074,5e-17,5e-17,140.0012600306483,5.0346973170332685,0
0.6083080061896402,0.10999113028867026,5e-17,5e-17,139.97283473291688,4.930035117956978,0
0.5464403649748037,0.1026658573479902,5e-17,5e-17,140.00227724256573,4.990973427072755,1
0.5416788768135326,0.10653908823036176,5e-17,5e-17,140.09578882886362,4.97831302512622,0
0.6331426327127183,0.09050113471460766,5e-17,5e-17,139.99215692296596,4.962415466066744,0
0.5975788577423881,0.12309746551846255,5e-17,5e-17,140.01628315000028,4.986171124146838,0
0.6345637048219962,0.1262894760738565,5e-17,5e-17,139.99927220763664,4.990905360274537,1
0.6174800505088129,0.12751244028711156,5e-17,5e-17,140.05196743990663,4.983748238971855,0
0.6376506925023702,0.1289821517338553,5e-17,5e-17,140.00094823324326,4.999608560160777,1
0.6113964613219721,0.12882668383108825,5e-17,5e-17,139.99987708824332,5.06896252286526,0
0.6175427493146215,0.1294895387089768,5e-17,5e-17,140.00102175343832,4.995148717170181,1
0.6386605121303011,0.1207737043006622,5e-17,5e-17,140.00056639319592,4.992175857855707,1
0.5991663127874667,0.1182574233903193,5e-17,5e-17,140.00013384988915,5.007246862983981,1
